TOURIST ID,AGE,CCA,CAMPUS,YEAR,GPA,INTART,INTHIST,ID
1,3,2,2,2,3,3,3,1
2,3,2,2,3,2,3,2,2
3,2,2,2,2,2,3,2,3
4,1,2,1,2,5,3,3,4
5,1,2,1,3,2,3,2,5
6,2,2,2,3,2,3,1,6
7,2,2,2,3,1,4,2,7
8,2,1,1,3,1,3,1,8
9,3,1,1,4,2,3,1,9
10,2,2,1,2,3,3,2,10
11,1,2,2,4,2,3,1,11
12,1,1,2,5,1,4,3,12
13,1,2,2,5,4,4,3,13
14,2,2,2,2,2,5,1,14
15,2,1,2,1,2,4,2,15
16,2,2,2,4,2,3,2,16
17,2,1,2,2,4,5,2,17
18,2,2,2,2,2,3,2,18
19,2,2,2,2,5,4,5,19
20,1,2,1,3,3,3,4,20
21,2,2,1,3,3,5,4,21
22,2,2,1,2,4,5,3,22
23,2,2,1,1,4,3,3,23
24,2,1,2,4,3,2,3,24
25,2,2,2,1,3,3,1,25
26,2,2,1,4,3,3,2,26
27,2,1,1,4,4,3,2,27
28,1,2,2,1,4,3,3,28
29,2,2,1,2,4,3,2,29
30,3,2,2,3,2,4,2,30
31,2,1,1,1,5,5,2,31
32,2,2,2,2,4,3,2,32
33,2,2,2,2,2,3,2,33
34,2,2,1,2,5,3,2,34
35,1,2,1,3,3,3,2,35
36,1,2,2,2,5,4,2,36
37,3,2,1,1,2,4,1,37
38,2,1,1,3,1,3,2,38
39,2,2,2,3,1,5,3,39
40,2,2,1,3,1,3,1,40
41,1,2,2,3,1,3,1,41
42,2,2,2,4,2,3,3,42
43,2,1,2,4,2,3,2,43
44,2,2,1,3,3,3,2,44
45,3,2,1,3,2,3,2,45
46,2,2,1,3,5,3,3,46
47,2,2,1,2,3,3,2,47
48,2,2,1,3,1,3,2,48
49,2,1,1,3,3,3,1,49
50,1,2,2,3,2,4,2,50
51,2,2,1,1,2,3,2,51
52,3,1,2,2,5,3,1,52
53,2,2,2,3,4,3,3,53
54,2,1,2,1,5,3,1,54
55,2,2,2,4,2,3,2,55
56,2,2,1,1,5,3,1,56
57,2,1,2,3,5,3,4,57
58,2,1,2,2,3,3,2,58
59,2,2,1,3,5,3,3,59
60,2,1,1,4,3,3,3,60
61,2,2,2,1,3,3,1,61
62,3,1,2,3,4,3,3,62
63,2,2,2,3,2,3,3,63
64,2,2,1,3,3,4,1,64
65,3,2,2,2,2,5,1,65
66,2,2,1,4,3,3,1,66
67,2,2,1,2,5,3,2,67
68,3,1,2,4,4,3,2,68
69,2,2,2,3,5,4,1,69
70,2,2,1,2,2,4,1,70
71,2,1,1,3,1,4,2,71
72,3,2,2,3,5,4,2,72
73,2,1,1,1,2,3,2,73
74,2,2,2,3,4,4,3,74
75,2,2,2,2,3,4,2,75
76,2,1,2,5,4,4,3,76
77,1,1,2,4,3,2,2,77
78,1,2,1,5,2,2,2,78
79,2,1,2,3,4,4,2,79
80,2,2,2,3,4,4,1,80
81,2,2,1,1,2,3,1,81
82,2,2,2,2,4,3,2,82
83,2,2,1,1,3,4,2,83
84,3,2,2,4,2,3,1,84
85,3,2,1,2,5,3,1,85
86,2,2,2,1,5,5,1,86
87,2,2,2,3,2,4,2,87
88,2,1,2,4,2,3,2,88
89,2,1,1,4,1,4,2,89
90,2,2,2,5,3,3,2,90
91,2,1,1,3,1,3,2,91
92,2,1,1,1,5,5,2,92
93,2,2,2,4,4,3,3,93
94,2,2,1,2,4,1,5,94
95,2,2,1,2,5,3,2,95
96,3,1,1,4,1,5,2,96
97,2,1,1,2,3,4,2,97
98,2,2,2,3,4,4,2,98
99,2,1,2,4,2,4,2,99
100,2,2,2,4,2,3,3,100
101,2,2,2,1,2,4,2,101
102,2,2,1,3,1,4,2,102
103,2,2,1,1,1,3,2,103
104,1,2,1,3,4,4,2,104
105,2,2,2,4,1,3,2,105
106,2,1,2,2,4,4,2,106
107,2,1,2,2,1,4,3,107
108,2,1,2,3,5,4,2,108
109,1,1,2,2,1,5,3,109
110,1,1,1,4,2,3,3,110
111,2,2,2,4,2,3,2,111
112,1,1,2,3,1,5,1,112
113,3,2,2,1,2,3,1,113
114,3,2,2,4,1,3,2,114
115,2,1,2,1,1,5,2,115
116,2,2,1,1,2,5,3,116
117,2,2,2,1,5,5,3,117
118,1,1,2,4,1,3,2,118
119,2,1,1,2,3,5,1,119
120,2,1,2,3,2,4,5,120
121,1,1,1,3,2,3,1,121
122,2,1,1,1,5,3,5,122
123,2,1,2,3,2,5,2,123
124,3,2,2,2,4,3,2,124
125,2,1,1,3,2,4,4,125
126,2,1,2,1,5,5,3,126
127,1,1,1,6,2,4,4,127
128,2,2,2,2,2,4,2,128
129,2,1,1,4,2,4,2,129
130,2,1,2,1,3,3,4,130
131,2,1,2,2,3,3,4,131
132,1,1,2,3,1,5,4,132
133,1,1,2,2,3,5,2,133
134,2,2,1,1,1,5,3,134
135,2,1,2,1,2,4,2,135
136,2,1,2,3,1,3,2,136
137,2,1,1,3,3,3,2,137
138,1,1,2,2,2,5,2,138
139,2,1,1,1,1,4,2,139
140,2,2,1,3,1,4,1,140
141,2,1,2,2,2,3,3,141
142,2,2,2,1,5,4,3,142
143,1,2,2,4,4,4,2,143
144,2,1,1,4,1,4,2,144
145,1,2,2,1,5,5,3,145
